MQ.LAM.00.HHE | 2014-04-07T00:00:00.000000Z - 2014-04-07T12:17:30.740000Z | 100.0 Hz, 4425075 samples
MQ.LAM.00.HHE | 2014-04-08T00:00:00.000000Z - 2014-04-08T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHE | 2014-04-09T00:00:00.000000Z - 2014-04-09T12:48:16.740000Z | 100.0 Hz, 4609675 samples
MQ.LAM.00.HHE | 2014-04-10T00:00:00.000000Z - 2014-04-10T13:52:39.740000Z | 100.0 Hz, 4995975 samples
MQ.LAM.00.HHE | 2014-04-11T00:00:00.000000Z - 2014-04-11T23:25:23.740000Z | 100.0 Hz, 8432375 samples
MQ.LAM.00.HHE | 2014-04-12T00:00:00.000000Z - 2014-04-12T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-04-13T00:00:00.000000Z - 2014-04-13T12:50:09.740000Z | 100.0 Hz, 4620975 samples
MQ.LAM.00.HHE | 2014-04-14T00:00:00.000000Z - 2014-04-14T23:59:58.740000Z | 100.0 Hz, 8639875 samples
MQ.LAM.00.HHE | 2014-04-15T00:00:00.000000Z - 2014-04-15T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHE | 2014-04-16T00:00:00.000000Z - 2014-04-16T11:58:58.740000Z | 100.0 Hz, 4313875 samples
MQ.LAM.00.HHE | 2014-04-17T00:00:00.000000Z - 2014-04-17T16:31:58.740000Z | 100.0 Hz, 5951875 samples
MQ.LAM.00.HHE | 2014-04-18T00:00:00.000000Z - 2014-04-18T13:30:23.740000Z | 100.0 Hz, 4862375 samples
MQ.LAM.00.HHE | 2014-04-19T00:00:00.000000Z - 2014-04-19T13:13:03.740000Z | 100.0 Hz, 4758375 samples
MQ.LAM.00.HHE | 2014-04-20T00:00:00.000000Z - 2014-04-20T12:59:44.740000Z | 100.0 Hz, 4678475 samples
MQ.LAM.00.HHE | 2014-04-21T00:00:00.000000Z - 2014-04-21T06:36:42.740000Z | 100.0 Hz, 2380275 samples
MQ.LAM.00.HHE | 2014-04-22T00:00:00.000000Z - 2014-04-22T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHE | 2014-04-23T00:00:00.000000Z - 2014-04-23T13:23:55.740000Z | 100.0 Hz, 4823575 samples
MQ.LAM.00.HHE | 2014-04-24T00:00:00.000000Z - 2014-04-24T12:40:41.740000Z | 100.0 Hz, 4564175 samples
MQ.LAM.00.HHE | 2014-04-25T00:00:00.000000Z - 2014-04-25T11:47:10.740000Z | 100.0 Hz, 4243075 samples
MQ.LAM.00.HHE | 2014-04-26T00:00:00.000000Z - 2014-04-26T20:24:16.740000Z | 100.0 Hz, 7345675 samples
MQ.LAM.00.HHE | 2014-04-27T00:00:00.000000Z - 2014-04-27T22:22:03.740000Z | 100.0 Hz, 8052375 samples
MQ.LAM.00.HHE | 2014-04-28T00:00:00.000000Z - 2014-04-28T13:30:06.740000Z | 100.0 Hz, 4860675 samples
MQ.LAM.00.HHE | 2014-04-29T00:00:00.000000Z - 2014-04-29T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHE | 2014-04-30T00:00:00.000000Z - 2014-04-30T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-01T00:00:00.000000Z - 2014-05-01T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-02T00:00:00.000000Z - 2014-05-02T11:44:59.740000Z | 100.0 Hz, 4229975 samples
MQ.LAM.00.HHE | 2014-05-03T00:00:00.000000Z - 2014-05-03T15:40:53.740000Z | 100.0 Hz, 5645375 samples
MQ.LAM.00.HHE | 2014-05-04T00:00:00.000000Z - 2014-05-04T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-05T00:00:00.000000Z - 2014-05-05T21:05:44.740000Z | 100.0 Hz, 7594475 samples
MQ.LAM.00.HHE | 2014-05-06T00:00:00.000000Z - 2014-05-06T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHE | 2014-05-07T00:00:00.000000Z - 2014-05-07T13:45:52.740000Z | 100.0 Hz, 4955275 samples
MQ.LAM.00.HHE | 2014-05-08T00:00:00.000000Z - 2014-05-08T18:30:47.740000Z | 100.0 Hz, 6664775 samples
MQ.LAM.00.HHE | 2014-05-09T00:00:00.000000Z - 2014-05-09T11:36:53.740000Z | 100.0 Hz, 4181375 samples
MQ.LAM.00.HHE | 2014-05-10T00:00:00.000000Z - 2014-05-10T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-11T00:00:00.000000Z - 2014-05-11T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-12T00:00:00.000000Z - 2014-05-12T11:05:41.740000Z | 100.0 Hz, 3994175 samples
MQ.LAM.00.HHE | 2014-05-13T00:00:00.000000Z - 2014-05-13T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHE | 2014-05-14T00:00:00.000000Z - 2014-05-14T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-15T00:00:00.000000Z - 2014-05-15T11:57:48.740000Z | 100.0 Hz, 4306875 samples
MQ.LAM.00.HHE | 2014-05-16T00:00:00.000000Z - 2014-05-16T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-17T00:00:00.000000Z - 2014-05-17T01:16:09.740000Z | 100.0 Hz, 456975 samples
MQ.LAM.00.HHE | 2014-05-18T00:00:00.000000Z - 2014-05-18T09:28:28.740000Z | 100.0 Hz, 3410875 samples
MQ.LAM.00.HHE | 2014-05-19T00:00:00.000000Z - 2014-05-19T11:59:06.740000Z | 100.0 Hz, 4314675 samples
MQ.LAM.00.HHE | 2014-05-20T00:00:00.000000Z - 2014-05-20T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHE | 2014-05-21T00:00:00.000000Z - 2014-05-21T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-22T00:00:00.000000Z - 2014-05-22T09:51:44.740000Z | 100.0 Hz, 3550475 samples
MQ.LAM.00.HHE | 2014-05-23T00:00:00.000000Z - 2014-05-23T08:18:35.740000Z | 100.0 Hz, 2991575 samples
MQ.LAM.00.HHE | 2014-05-24T00:00:00.000000Z - 2014-05-24T04:31:05.740000Z | 100.0 Hz, 1626575 samples
MQ.LAM.00.HHE | 2014-05-25T00:00:00.000000Z - 2014-05-25T10:35:00.740000Z | 100.0 Hz, 3810075 samples
MQ.LAM.00.HHE | 2014-05-26T00:00:00.000000Z - 2014-05-26T23:59:58.740000Z | 100.0 Hz, 8639875 samples
MQ.LAM.00.HHE | 2014-05-27T00:00:00.000000Z - 2014-05-27T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHE | 2014-05-28T00:00:00.000000Z - 2014-05-28T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-29T00:00:00.000000Z - 2014-05-29T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHE | 2014-05-30T00:00:00.000000Z - 2014-05-30T14:39:04.740000Z | 100.0 Hz, 5274475 samples
MQ.LAM.00.HHE | 2014-05-31T00:00:00.000000Z - 2014-05-31T14:54:03.740000Z | 100.0 Hz, 5364375 samples
MQ.LAM.00.HHN | 2014-02-20T00:00:00.000000Z - 2014-02-20T06:53:55.740000Z | 100.0 Hz, 2483575 samples
MQ.LAM.00.HHN | 2014-02-21T00:00:00.000000Z - 2014-02-21T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-02-22T00:00:00.000000Z - 2014-02-22T00:00:20.740000Z | 100.0 Hz, 2075 samples
MQ.LAM.00.HHN | 2014-02-23T00:00:00.000000Z - 2014-02-23T00:04:29.740000Z | 100.0 Hz, 26975 samples
MQ.LAM.00.HHN | 2014-02-24T00:00:00.000000Z - 2014-02-24T00:00:53.740000Z | 100.0 Hz, 5375 samples
MQ.LAM.00.HHN | 2014-02-25T00:00:00.000000Z - 2014-02-25T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-02-26T00:00:00.000000Z - 2014-02-26T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-02-27T00:00:00.000000Z - 2014-02-27T04:40:45.740000Z | 100.0 Hz, 1684575 samples
MQ.LAM.00.HHN | 2014-02-28T00:00:00.000000Z - 2014-02-28T21:38:37.740000Z | 100.0 Hz, 7791775 samples
MQ.LAM.00.HHN | 2014-03-01T00:00:00.000000Z - 2014-03-01T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-02T00:00:00.000000Z - 2014-03-02T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-03T00:00:00.000000Z - 2014-03-03T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-04T00:00:00.000000Z - 2014-03-04T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-03-05T00:00:00.000000Z - 2014-03-05T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-06T00:00:00.000000Z - 2014-03-06T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-07T00:00:00.000000Z - 2014-03-07T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-08T00:00:00.000000Z - 2014-03-08T13:45:06.740000Z | 100.0 Hz, 4950675 samples
MQ.LAM.00.HHN | 2014-03-09T00:00:00.000000Z - 2014-03-09T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-10T00:00:00.000000Z - 2014-03-10T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-11T00:00:00.000000Z - 2014-03-11T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-03-12T00:00:00.000000Z - 2014-03-12T11:27:30.740000Z | 100.0 Hz, 4125075 samples
MQ.LAM.00.HHN | 2014-03-13T00:00:00.000000Z - 2014-03-13T09:38:29.740000Z | 100.0 Hz, 3470975 samples
MQ.LAM.00.HHN | 2014-03-14T00:00:00.000000Z - 2014-03-14T11:31:48.740000Z | 100.0 Hz, 4150875 samples
MQ.LAM.00.HHN | 2014-03-15T00:00:00.000000Z - 2014-03-15T10:45:00.740000Z | 100.0 Hz, 3870075 samples
MQ.LAM.00.HHN | 2014-03-16T00:00:00.000000Z - 2014-03-16T11:46:28.740000Z | 100.0 Hz, 4238875 samples
MQ.LAM.00.HHN | 2014-03-17T00:00:00.000000Z - 2014-03-17T13:20:30.740000Z | 100.0 Hz, 4803075 samples
MQ.LAM.00.HHN | 2014-03-18T00:00:00.000000Z - 2014-03-18T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-03-19T00:00:00.000000Z - 2014-03-19T08:42:10.740000Z | 100.0 Hz, 3133075 samples
MQ.LAM.00.HHN | 2014-03-20T00:00:00.000000Z - 2014-03-20T10:27:15.740000Z | 100.0 Hz, 3763575 samples
MQ.LAM.00.HHN | 2014-03-21T00:00:00.000000Z - 2014-03-21T13:15:04.740000Z | 100.0 Hz, 4770475 samples
MQ.LAM.00.HHN | 2014-03-22T00:00:00.000000Z - 2014-03-22T22:05:51.740000Z | 100.0 Hz, 7955175 samples
MQ.LAM.00.HHN | 2014-03-23T00:00:00.000000Z - 2014-03-23T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-24T00:00:00.000000Z - 2014-03-24T13:32:39.740000Z | 100.0 Hz, 4875975 samples
MQ.LAM.00.HHN | 2014-03-25T00:00:00.000000Z - 2014-03-25T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-03-26T00:00:00.000000Z - 2014-03-26T02:50:12.740000Z | 100.0 Hz, 1021275 samples
MQ.LAM.00.HHN | 2014-03-27T00:00:00.000000Z - 2014-03-27T12:59:33.740000Z | 100.0 Hz, 4677375 samples
MQ.LAM.00.HHN | 2014-03-28T00:00:00.000000Z - 2014-03-28T06:13:54.740000Z | 100.0 Hz, 2243475 samples
MQ.LAM.00.HHN | 2014-03-29T00:00:00.000000Z - 2014-03-29T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-03-31T00:00:00.000000Z - 2014-03-31T12:35:32.740000Z | 100.0 Hz, 4533275 samples
MQ.LAM.00.HHN | 2014-04-01T00:00:00.000000Z - 2014-04-01T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-04-02T00:00:00.000000Z - 2014-04-02T11:14:03.740000Z | 100.0 Hz, 4044375 samples
MQ.LAM.00.HHN | 2014-04-03T00:00:00.000000Z - 2014-04-03T11:44:03.740000Z | 100.0 Hz, 4224375 samples
MQ.LAM.00.HHN | 2014-04-04T00:00:00.000000Z - 2014-04-04T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-04-05T00:00:00.000000Z - 2014-04-05T14:55:29.740000Z | 100.0 Hz, 5372975 samples
MQ.LAM.00.HHN | 2014-04-06T00:00:00.000000Z - 2014-04-06T16:35:23.740000Z | 100.0 Hz, 5972375 samples
MQ.LAM.00.HHN | 2014-04-07T00:00:00.000000Z - 2014-04-07T12:17:30.740000Z | 100.0 Hz, 4425075 samples
MQ.LAM.00.HHN | 2014-04-08T00:00:00.000000Z - 2014-04-08T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-04-09T00:00:00.000000Z - 2014-04-09T12:48:16.740000Z | 100.0 Hz, 4609675 samples
MQ.LAM.00.HHN | 2014-04-10T00:00:00.000000Z - 2014-04-10T13:52:39.740000Z | 100.0 Hz, 4995975 samples
MQ.LAM.00.HHN | 2014-04-11T00:00:00.000000Z - 2014-04-11T23:25:23.740000Z | 100.0 Hz, 8432375 samples
MQ.LAM.00.HHN | 2014-04-12T00:00:00.000000Z - 2014-04-12T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-04-13T00:00:00.000000Z - 2014-04-13T12:50:09.740000Z | 100.0 Hz, 4620975 samples
MQ.LAM.00.HHN | 2014-04-14T00:00:00.000000Z - 2014-04-14T23:59:58.740000Z | 100.0 Hz, 8639875 samples
